date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),reward,activeAddresses,medianTxValue(USD)
2015/12/23,527216.1054,35,951414.438,0.999805,66711,0,,
2015/12/24,164329.6266,47,951600,1,91078,0,,
2015/12/25,618007.9469,45,951600,1,618112,0,,
2015/12/26,7732.432292,19,951600,1,15305,0,,
2015/12/27,25348.55313,21,951600,1,26317,0,,
2015/12/28,158066.1156,23,951600,1,82323,0,,
2015/12/29,18856.08921,65,951600,1,14115,0,,
2015/12/30,257798.6614,25,951600,1,7389,0,,
2015/12/31,7469.653791,24,951600,1,6995,0,,
2016/1/1,4095.227022,28,951600,1,4876,0,,
2016/1/2,2075.799603,92,951600,1,4701,0,,
2016/1/3,410.9043558,497,951600,1,1389,0,,
2016/1/4,163693.158,1564,951600,1,81182,0,,
2016/1/5,1581.941165,52,951838,1,1350,0,,
2016/1/6,1061117.811,28,1451600,1,541019,500000,,
2016/1/7,856329.2654,73,1451600,1,25544,0,,
2016/1/8,20355.39869,44,1451600,1,13420,0,,
2016/1/9,2168.811269,18,1451600,1,3359,0,,
2016/1/10,66943.95556,33,1451600,1,66196,0,,
2016/1/11,315639.7437,34,1451600,1,118900,0,,
2016/1/12,2051.220637,28,1451600,1,11714,0,,
2016/1/13,364136.3686,25,1452253,1,9873,0,,
2016/1/14,22990.62366,26,1451600,1,20292,0,,
2016/1/15,172739.0645,26,1451600,1,95995,0,,
2016/1/16,65751.76907,43,1452195,1,74254,0,,
2016/1/17,5258.524259,26,1451600,1,17361,0,,
2016/1/18,141385.0935,71,1451600,1,160834,0,,
2016/1/19,2733444.034,36,1451600,1,9857,0,,
2016/1/20,1282746.69,39,1451600,1,17069,0,,
2016/1/21,29388.95847,50,1451600,1,35772,0,,
2016/1/22,968254.1918,39,1451702,1,26682,0,,
2016/1/23,14178.87016,32,1451818,1,28438,0,,
2016/1/24,8726.170155,20,1451615,1,21139,0,,
2016/1/25,17008.029,42,1451615,1,44570,0,,
2016/1/26,82640.20272,18,1451600,1,69162,0,,
2016/1/27,19464.10959,48,1451600,1,37598,0,,
2016/1/28,303640.1264,52,1451600.452,1,155498,0,,
2016/1/29,81974.54152,39,1451598.484,0.999999,73399,0,,
2016/1/30,5160.749162,10,1451568.065,0.999978,6307,0,,
2016/1/31,3133.771265,16,1451600.452,1,10385,0,,
2016/2/1,59413.45885,30,1451598.548,0.999999,76317,0,,
2016/2/2,705968.7928,22,1451555,0.999969,7113,0,,
2016/2/3,208393.9999,58,1451600,1,104733,0,,
2016/2/4,210878.9791,53,1451600,1,150392,0,,
2016/2/5,225801.9859,31,1451600,1,97341,0,,
2016/2/6,709855.8777,32,1451600,1,715070,0,,
2016/2/7,13340.8765,29,1451600,1,27176,0,,
2016/2/8,37698.91429,30,1451600,1,36002,0,,
2016/2/9,11668.43192,21,1451600,1,36351,0,,
2016/2/10,55584.98677,63,1451600,1,125936,0,,
2016/2/11,32186.11774,50,1451600,1,65354,0,,
2016/2/12,301608.7533,110,1451600,1,407856,0,,
2016/2/13,27296.7948,67,1451600,1,98085,0,,
