date,txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,generatedCoins,activeAddresses,medianFee,averageDifficulty,paymentCount,blockCount,blockSize
2014-07-19,1905,5729589.90625,2.59,169471.0,14.355464127744,22320.758217526538,72419,0.006567200883,1000135574.8947369,30043,1444,6566869
2014-07-20,1944,6444453.353612167,2.88,116853.0,14.661144397807,22368.549166948575,72047,0.006819471637,1032915790.6788675,35087,1448,6267278
2014-07-21,2153,6018323.436893204,2.67,243140.0,33.55505617343,21916.329018048586,84688,0.00700640898,1037119925.7888811,32907,1421,7802705
2014-07-22,2105,7046815.490625,3.09,262049.00000000003,16.082259156259,22393.254555940064,80747,0.007,1061550105.3060523,33707,1454,7157456
2014-07-23,2243,7379121.924398625,3.2,274946.0,17.236003999874,22555.13779576306,79879,0.007,1072157256.6391542,36536,1466,6976149
2014-07-24,2101,6795733.322033899,2.92,292547.0,20.666692817894,21561.141720500455,68203,0.008539252416,1092637808.5402708,29648,1403,6202514
2014-07-25,2156,5571208.848708487,2.37,182887.0,19.795637006786,22395.70463875895,73152,0.006,1129645039.7321918,35221,1460,6403607
2014-07-26,1958,6401955.5725190835,2.7,125320.0,14.504681115631,22185.302160155064,67073,0.0062710900005,1121603357.5722184,33137,1447,5822781
2014-07-27,2008,6266079.333333334,2.62,111826.99999999999,21.369111685398,21765.86896812404,72049,0.005986055,1173566772.3028812,34325,1423,6247614
2014-07-28,2138,6144098.444444444,2.55,141903.0,20.611798250498,21998.423061168465,78114,0.00612769849,1134655145.5013888,38095,1440,6651505
2014-07-29,2492,6566214.503816795,2.7,272756.0,18.371537316571,22311.267265919458,97982,0.006073545,1192188038.320574,41215,1463,8467173
2014-07-30,2222,6428669.244094488,2.62,79830.0,16.342195090182,21544.415528726968,85788,0.006296279605,1163816563.4724188,39687,1414,7282089
2014-07-31,2118,6250562.541176471,2.52,111065.0,23.105838408368,22513.067183975087,91272,0.007,1182148559.2662163,41374,1480,7797804
2014-08-01,1822,6420979.4419475645,2.57,145177.0,15.609247523112,21707.00293066103,84833,0.0066901234035,1223903094.0713286,32816,1430,7598177
2014-08-02,1667,6728208.828,2.67,101031.0,12.356255297871,21396.677395443803,69461,0.006581220001,1213657321.7687943,36125,1410,5874517
2014-08-03,1687,6361597.457627119,2.5,144327.0,12.09013294686,21796.57197992358,74375,0.006,1205582931.0917943,37492,1438,6525566
2014-08-04,1944,6040084.199004975,2.36,234647.0,14.405609207571,21605.000766221026,82966,0.0064186311055,1233773547.236529,35281,1429,7805185
2014-08-05,1560,5208263.386046511,2.01,94391.0,11.417247505223,21708.929238152014,63494,0.0064341459435,1150835218.8718662,32408,1436,5691086
2014-08-06,1919,5739851.232876713,2.2,76411.00000000001,14.08195524195,21920.09571043916,72768,0.00622636638,1176723816.8199313,36224,1455,8813240
2014-08-07,1525,5764010.411214953,2.19,88304.0,11.114008757053,20980.319343612686,68560,0.00625838,1172599157.819684,33269,1392,5997034
2014-08-08,1614,5672136.752293577,2.14,87502.0,12.014378945828,22056.342242014725,71013,0.00624204,1207752796.8478854,32461,1466,6506076
2014-08-09,1645,5808878.166666667,2.17,72351.0,12.056488160352,22092.306792015097,75798,0.00646631,1225309048.9653296,35606,1471,6875186
2014-08-10,1533,5511228.956310678,2.05,80847.0,11.402543632537,19784.473654160334,64415,0.00672614,1210039796.281487,32416,1318,5660562
2014-08-11,1953,5539437.576923077,2.04,132234.0,14.684829025556,22839.528948008694,81513,0.00671284,1158260547.230315,39256,1524,7330892
2014-08-12,1905,5683115.36,2.08,114580.0,13.999744327404,21243.11699609971,89618,0.006,1203764542.4985936,37955,1422,8426863
2014-08-13,1695,5515337.894736842,2.0,89506.0,12.654842169885,21769.05947739619,68095,0.0067213,1232851977.7584076,34292,1457,7108207
2014-08-14,1961,5298522.318181818,1.91,99815.0,15.022418126051,20445.180957544802,99395,0.007499370001,1167846070.2485423,32894,1372,10368293
2014-08-15,1641,4932844.591194969,1.78,182760.0,21.567967895928,21791.436814997993,69718,0.006976133547,1172411565.6985645,34128,1463,7006013
2014-08-16,1589,4419339.412500001,1.59,82703.0,14.481474011416,21133.39370655934,64896,0.006,1138429079.7857647,33602,1419,6081296
2014-08-17,1597,4430267.397260274,1.6,72244.0,11.67494940202,20891.395607465725,68759,0.006569410002,1132035657.094662,34176,1405,6229483
2014-08-18,1787,4068713.648275862,1.47,108222.0,14.253685336745,21660.222311398033,76374,0.00633103,1092350728.760274,34085,1460,7432355
2014-08-19,1804,4194593.393939394,1.45,98273.0,13.934470101199,21086.968971849987,73108,0.0065085099995,1083945168.9866385,36875,1422,6944864
2014-08-20,2354,4831957.934426229,1.66,286655.0,17.104539394973,21121.365378448292,103912,0.006,1060826317.6783217,38450,1430,10215174
2014-08-21,1855,5375805.67032967,1.84,141302.0,13.821079059537,21788.16412686968,81513,0.007,1112316059.862958,36411,1474,7743435
2014-08-22,1902,5374993.730337079,1.82,118268.0,13.995568515865,21429.296977635375,73204,0.0066382397135,1274296119.2326221,37358,1453,7031020
2014-08-23,3255,5299144.574585635,1.78,81316.0,28.452532712257,21058.858317487306,81264,0.01,1276461408.1224773,42940,1437,21149443
2014-08-24,2708,5407648.820512821,1.81,113086.0,64.108056126229,21902.425148633258,74308,0.01,1353449313.063045,30497,1491,18108865
2014-08-25,1688,5872208.12195122,1.95,179315.0,100.773591564833,20644.545717417113,70306,0.01,1457372624.7309608,22208,1405,6864496
2014-08-26,1308,6354471.353233831,2.09,191411.0,98.956561840792,21358.011190339985,51084,0.1,1407621070.7971115,20185,1454,4929985
2014-08-27,1129,6142537.0,2.01,125364.0,80.886772707528,20292.747378000582,53643,0.1,1407077738.1979768,20767,1384,5444300
2014-08-28,1294,6153448.868778281,2.0,246829.0,90.992206071641,21532.25466125184,54870,0.1,1405083599.4235215,20421,1471,5755556
2014-08-29,1244,6746285.212669684,2.18,219724.0,82.722179285517,21284.09680117699,53650,0.01,1421908087.2013745,17970,1455,5270674
2014-08-30,1330,6903564.487704918,2.21,270668.0,97.730846303674,21341.567496529948,57599,0.1,1533501577.779603,20715,1461,5443069
2014-08-31,1387,7631281.741935485,2.43,308396.0,110.006216546466,20028.078409260597,68720,0.1,1549573822.4133916,23646,1374,6502455
2014-09-01,1258,6853860.965686274,2.17,268279.0,98.017996274974,21031.073800607373,52864,0.1,1415283589.3693693,25480,1443,4864805
2014-09-02,1205,6508164.285714285,2.05,218797.0,109.320024279819,20600.617174433886,59367,0.1,1405605276.115113,25586,1416,5530211
2014-09-03,2856,6248814.384236454,1.95,153437.0,276.273549198128,20369.16704444333,229678,0.1001675000005,1393304227.2968197,131358,1415,25393355
2014-09-04,1967,6531099.195121951,2.03,186620.0,135.907381551683,21126.99072130817,118944,0.1,1280809444.9663923,63728,1458,13980444
2014-09-05,893,6636922.626262627,2.05,168193.0,88.228551311222,20900.618459242654,43197,0.100008239999,1314644246.0714285,18233,1442,3971238
2014-09-06,885,6452652.461538461,1.98,120274.0,94.321616101274,20934.308251230355,44671,0.101461526797,1435733673.5290456,22724,1446,3866066
2014-09-07,888,6360445.819148936,1.94,151671.0,98.934923241113,21386.71624332689,44037,0.100861161126,1479217544.9148073,21353,1479,3847525
2014-09-08,911,6225756.727272727,1.88,158829.0,97.060863074337,19860.471385360655,49474,0.10137914,1472550247.0356104,20674,1376,4529679
2014-09-09,962,6240448.632768362,1.88,129057.99999999999,109.488180351089,20654.866716207187,46719,0.1008520543965,1417321967.3510118,19605,1433,4261313
2014-09-10,1158,5912186.345177665,1.77,280005.0,126.088902464972,20318.081127742404,52179,0.100605386901,1361266226.3090007,23326,1411,4582813
2014-09-11,1058,6643526.453608247,1.97,173065.0,115.414244159463,20567.238707353543,47166,0.100467249997,1378232666.8314686,21528,1430,4164553
2014-09-12,947,6563671.138297873,1.94,166282.0,101.792890871886,20913.992094937417,45121,0.100663395448,1390775872.9663463,21421,1456,4056017
2014-09-13,837,6410470.745945945,1.88,156820.0,96.118411032909,20799.727586251487,45723,0.104705519825,1532566430.0468965,22998,1450,3889614
2014-09-14,804,6344948.04945055,1.85,123269.00000000001,95.854685738642,21156.868059502845,41946,0.1003170495085,1543447971.1062965,22314,1477,3566085
2014-09-15,912,6266898.915789475,1.82,132403.0,101.211411532912,19652.52718246324,46149,0.1013812429385,1549332379.010182,22102,1375,4466589
2014-09-16,1090,6606951.576086956,1.9,149855.0,119.880581940275,20656.35423959493,57408,0.1005480567375,1430921426.707671,23301,1447,5628902
2014-09-17,1045,6412702.508474576,1.84,291633.0,117.141526701057,20041.500346516117,59428,0.102070351799,1425123222.946695,21289,1407,6307864
2014-09-18,958,6105755.312101911,1.74,253081.99999999997,108.0877488521,20202.08443770459,53245,0.103629202131,1313155924.384778,21085,1419,5467306
2014-09-19,942,5560901.020689656,1.57,171739.0,109.625167010038,20653.749656867654,47704,0.1066545634325,1347147949.3620095,22649,1453,5063474
2014-09-20,868,5119739.716535432,1.44,362626.0,107.99791129464,20657.950496361485,40171,0.103170824088,1383747821.1553264,20901,1455,4312620
2014-09-21,1118,4550686.0,1.27,239591.0,129.917764373129,19527.50326669735,66655,0.10199323096,1438714841.4201741,21609,1378,7129146
2014-09-22,883,4565702.412698412,1.27,137822.0,94.419061842218,19832.167824595752,40227,0.1,1236418028.2428572,18684,1400,3808975
2014-09-23,1006,4537099.714285715,1.26,205229.0,108.102556860359,20519.730403965736,43421,0.1,1253387325.4610612,19121,1451,4569082
2014-09-24,622,5286327.390728476,1.46,122748.0,53.355545279825,20139.1626875875,27360,0.1,1214647981.7945302,8606,1426,3203552
2014-09-25,884,5465098.928571429,1.5,126179.0,88.229370629689,19983.81179202596,33652,0.1,1135180325.2358756,16852,1416,3077115
2014-09-26,674,5128468.920863309,1.4,81632.0,76.218611662946,21162.85811428103,37460,0.101514394957,1186084290.2343543,19677,1502,3255081
2014-09-27,633,5080780.763358777,1.38,95657.0,76.520098249142,19562.327536606026,32897,0.10304,1350322571.9244604,18424,1390,3488015
2014-09-28,796,4862415.049180328,1.31,84413.0,97.818587241981,20034.296450516114,42134,0.1045393824385,1250764523.654979,16990,1426,3916695
2014-09-29,769,4550536.347826088,1.22,83902.0,96.576928506179,20455.579086003643,41551,0.11348863,1226988281.8093278,17294,1458,4361985
2014-09-30,786,4353009.344262295,1.16,82094.0,96.340893804921,20749.858286798622,41221,0.112845163939,1321134435.2687373,15857,1481,4516286
2014-10-01,817,4564216.8,1.21,65140.0,98.635009867893,20015.82222153731,42836,0.104260048584,1384298802.032844,16646,1431,4102031
2014-10-02,653,4624682.705882353,1.22,61824.0,91.703911984579,19331.199020042623,30315,0.105,1261963170.2501807,16446,1383,2800464
2014-10-03,706,4503500.036363635,1.18,113844.0,87.307162240949,19940.386181146798,36130,0.1174830199985,1281782760.446466,16033,1429,3428374
2014-10-04,642,4178122.6090087434,1.09,65894.0,77.823670755871,19922.23502549364,33160,0.1147041275405,1246931826.7613716,17377,1429,2994620
2014-10-05,685,3764951.7221214706,0.977117,86073.0,79.088924000383,19968.862534174972,37637,0.107,1369003525.6174216,16587,1435,3508001
2014-10-06,635,3403267.5203097262,0.878679,65376.99999999999,114.369549715063,20067.688853937947,29450,0.108235730441,1302855575.5062327,13208,1444,3065170
2014-10-07,659,3834539.478204,0.980493,68252.0,76.894328358643,19729.14244820686,35572,0.105,1280590812.145672,17164,1421,3284578
2014-10-08,732,3906676.1467889906,1.0,116352.0,84.351628747695,19808.07931981891,40015,0.105,1284834546.5962212,17274,1429,3781600
2014-10-09,688,4268417.414414414,1.09,66785.0,80.592005426617,19934.99529608234,37887,0.1057915049985,1261086255.5694444,17262,1440,3482844
2014-10-10,826,4350237.543859649,1.1,121420.0,98.105070504244,19913.208128077073,40550,0.105,1367564173.3282442,16770,1441,3974916
2014-10-11,578,4514903.499999999,1.14,81875.99999999999,70.087483308358,19966.45280469651,33575,0.1071004233065,1445260871.1099584,15247,1446,3283585
2014-10-12,606,4291482.055045872,1.08,58972.0,69.125092309018,19210.484855869454,36314,0.1044069802995,1469109026.8816357,13778,1394,3613224
2014-10-13,706,4345959.2727272725,1.08,92059.0,79.884242585054,19782.836578993934,39848,0.103599589159,1379600456.2658317,17812,1437,3810707
2014-10-14,650,4452450.46728972,1.1,63787.0,79.437696286085,19306.33288048242,36771,0.1105295394275,1342655551.8881767,17305,1404,3458176
2014-10-15,611,4374667.580396261,1.08,104550.0,74.693754228027,19775.32772371796,32453,0.109,1307865432.1645834,16248,1440,3217121
2014-10-16,527,4016710.160352912,0.986954,59154.0,108.767182208404,19185.78975055586,27990,0.100288154894,1274812161.0757685,11918,1399,2852760
2014-10-17,580,4084288.847112304,0.998718,63034.0,69.224606279858,19699.442200702902,32866,0.1027023801435,1233871556.3564975,16822,1439,3297838
2014-10-18,498,4000937.011739126,0.973584,60842.0,60.079591136991,19989.4200488585,27393,0.1110724824685,1402591412.9938397,15960,1461,2469016
2014-10-19,571,3986671.766895004,0.965568,47858.0,70.97825807936,19328.80296067686,29536,0.116313086672,1361084345.6770318,15953,1415,2790700
2014-10-20,707,4129966.290102842,0.995676,86281.0,79.369763593702,19065.648498880408,39981,0.103955,1264638991.412017,16264,1398,3887382
2014-10-21,592,3967095.2848588875,0.952061,50963.0,69.695655592916,18988.701305005914,30989,0.1068820599985,1208499364.5236728,16108,1394,2911622
2014-10-22,701,4005923.1153461016,0.956909,63726.99999999999,84.828577236316,19438.442508086307,37044,0.104259769999,1172845299.5444367,16443,1429,3577196
2014-10-23,688,3963552.5279955077,0.942326,97124.0,82.460425088714,19821.31279394521,35691,0.107542139331,1276921095.7340643,15869,1459,3439478
2014-10-24,629,3558624.990323516,0.842075,52867.0,78.485646391009,19855.267453919892,37858,0.107429929257,1340515758.6284153,15936,1464,3881087
2014-10-25,670,3242344.8440474616,0.763826,54595.99999999999,83.960345402599,18854.04057069304,33174,0.108524423344,1256857384.9331896,15017,1392,3272216
2014-10-26,626,3156311.7957321554,0.74026,37577.0,77.496014398643,18940.60195313606,38621,0.116851445659,1237114577.2683797,14087,1401,3860016
2014-10-27,909,2984808.540898218,0.697623,141319.0,112.610636002619,18853.94261561346,66560,0.119918282583,1110784941.3014286,15485,1400,6525127
2014-10-28,608,3032307.807537682,0.704975,82389.0,73.855745129823,18630.366785598475,34074,0.114816733486,1068834701.1274439,13587,1381,3152529
2014-10-29,690,2971904.826122327,0.687775,23967.0,88.908566199914,19770.645346870617,38866,0.126377688299,1001542917.2758856,14898,1468,3622104
2014-10-30,562,2743365.221893809,0.632047,48427.0,73.904085642554,19416.01372836317,35215,0.120784357819,1078576641.869716,15068,1443,3192348
2014-10-31,535,2675853.662869019,0.61369,37303.0,69.585170265333,19771.459505841118,28162,0.12070552786,1157104471.139361,13353,1471,2534242
2014-11-01,446,2658947.779134632,0.607123,33872.0,57.741512571388,19343.73799522347,23957,0.122821062278,1207908107.4649549,13216,1441,2107680
2014-11-02,449,2579298.142199919,0.586417,26877.0,61.153351954388,18841.98769770007,22397,0.12970023,1281878465.937411,11675,1406,2192057
2014-11-03,580,2552600.773567947,0.577925,40900.0,75.872620907617,18434.998300379873,35117,0.126711024316,1115381952.4143686,12168,1378,3429593
2014-11-04,561,2554558.2159284926,0.575828,42253.0,73.379755020062,19511.07960212638,32672,0.12925887541,1072196576.2280822,15324,1460,2911160
2014-11-05,538,2438331.4581193114,0.547942,25458.0,69.441598642075,18049.94321688619,26322,0.128295725,1043930923.6649408,14090,1352,2274612
