date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),reward,activeAddresses,medianTxValue(USD)
2017-04-11,5174990.6129226,380,54947244.5292871,0.999934,12213800.0,0.0,,
2017-04-12,7090511.941770319,406,50735756.25665642,0.999842,20964000.0,0.0,,
2017-04-13,8092487.486297498,490,50721344.836226456,0.999558,24018200.0,0.0,,
2017-04-14,4681966.740527838,404,50724389.06465356,0.999618,14768200.0,0.0,,
2017-04-15,6700510.001553739,390,50694602.65377988,0.999031,14030700.0,0.0,,
2017-04-16,2042297.5328345546,278,50740677.75487315,0.999939,7208670.0,0.0,,
2017-04-17,8544711.311832383,563,50715103.334714316,0.999435,17280800.0,0.0,,
2017-04-18,12789727.996063784,924,60700888.504897885,0.999294,26367700.0,10000000.0,,
2017-04-19,8145594.632210452,675,54803775.528701186,0.999617,18244800.0,0.0,,
2017-04-20,5383921.934754016,657,54757258.10019784,0.999525,20548000.0,0.0,,
2017-04-21,7564047.369300062,715,54647463.33186881,0.998269,15935100.0,0.0,,
2017-04-22,5419066.550846956,613,53856499.21726294,0.984,14711900.0,0.0,,
2017-04-23,5302840.198404983,621,51486796.7017745,0.940741,17298600.0,0.0,,
2017-04-24,4778127.562865901,534,50418052.09037249,0.921308,15265400.0,0.0,,
2017-04-25,15133696.672930062,539,59435766.11852735,0.917876,12707000.0,0.0,,
2017-04-26,7899370.477918823,600,56810668.00451875,0.913539,18772400.0,0.0,,
2017-04-27,9029687.04189448,581,57245574.171822175,0.921049,24062800.0,0.0,,
2017-04-28,10922495.623317227,538,57431267.85798392,0.924343,26494600.0,0.0,,
2017-04-29,6279077.33590509,448,58889839.04302635,0.934557,26533600.0,0.0,,
2017-04-30,5077408.723701199,374,59055044.338514864,0.937189,23739900.0,0.0,,
2017-05-01,8577705.719721688,498,59039851.892039604,0.936855,44582500.0,0.0,,
2017-05-02,3001330.654907603,485,59016321.093240775,0.935857,22268100.0,0.0,,
2017-05-03,5041010.900907441,575,57297334.69942604,0.932612,33500300.0,0.0,,
2017-05-04,13016980.505459214,861,58244449.11364571,0.933356,56022400.0,0.0,,
2017-05-05,15967144.674925683,840,59031916.29639357,0.945975,69583296.0,0.0,,
2017-05-06,11869610.103426628,549,59636728.087436855,0.955667,44047300.0,0.0,,
2017-05-07,8313594.313664938,672,60446161.05535248,0.968638,72995504.0,0.0,,
2017-05-08,7085905.724745486,621,60466977.38445919,0.968962,85211504.0,0.0,,
2017-05-09,25307307.14017926,553,60356662.36584827,0.967255,62186400.0,0.0,,
2017-05-10,9007520.956514884,563,60554406.49705601,0.970483,45884200.0,0.0,,
2017-05-11,8462908.059357487,486,61137003.58741961,0.97982,46800700.0,0.0,,
2017-05-12,12211247.888349345,616,60842431.33052138,0.975099,42850000.0,0.0,,
2017-05-13,5358207.475458305,528,61232656.39387336,0.981353,28873700.0,0.0,,
2017-05-14,5698705.401825006,339,60697422.60762343,0.972775,23922200.0,0.0,,
2017-05-15,8456139.04197741,528,61181741.78609798,0.980577,37380700.0,0.0,,
2017-05-16,2961567.3801618842,228,60567922.4911542,0.970698,53097800.0,0.0,,
2017-05-17,3517043.086146086,341,59461320.05234695,0.952963,60057700.0,0.0,,
2017-05-18,4999806.1382693965,376,59972033.46521869,0.961148,44705600.0,0.0,,
2017-05-19,3978087.649407104,560,60422897.948428,0.967244,53721400.0,0.0,,
2017-05-20,6282395.184511829,608,62320431.30528341,0.998833,42299800.0,0.0,,
2017-05-21,3095155.0623682984,360,61946798.001995,0.992749,46162600.0,0.0,,
2017-05-22,11127334.18400063,343,62262129.702970296,1.0,79739904.0,0.0,,
2017-05-23,14376965.166572606,647,64800006.0,1.01,59043000.0,0.0,,
2017-05-24,13282737.053993562,724,68865612.25490196,1.01,87804800.0,10000000.0,,
2017-05-25,38306248.91630973,776,69534139.5,1.02,144036000.0,10000000.0,,
2017-05-26,38027210.79539334,702,96540460.78846154,1.02,125946000.0,20000000.0,,
2017-05-27,48127141.24011608,1041,110642195.58823529,1.05,186683008.0,20000000.0,,
2017-05-28,22442097.369591136,836,107344821.57692307,1.02,110026000.0,0.0,,
2017-05-29,19392573.9324138,677,109364721.7254902,1.04,80508896.0,0.0,,
2017-05-30,24868500.192535274,1099,107041607.52475247,1.02,108331000.0,0.0,,
2017-05-31,10316054.058385273,716,105664316.9326923,1.01,84739904.0,0.0,,
2017-06-01,15271441.623422142,797,109253864.93203884,1.04,100614000.0,0.0,,
2017-06-02,9129125.190014794,603,108554869.7745098,1.03,49197100.0,0.0,,
2017-06-03,9254857.01212709,591,108484894.40196079,1.03,43629000.0,0.0,,
2017-06-04,9828051.377482327,619,107267457.74257426,1.02,49194800.0,0.0,,
2017-06-05,10437466.339114703,666,105710941.01960784,1.01,49132500.0,0.0,,
2017-06-06,64287524.30990249,1303,107610825.18,1.02,152408000.0,20000000.0,,
2017-06-07,58130272.39319778,783,104887656.43564357,1.0,97386096.0,0.0,,
2017-06-08,19034448.07638854,722,130662699.72,1.02,65560000.0,0.0,,
2017-06-09,17645932.86123387,807,127579236.0,1.0,58031200.0,0.0,,
2017-06-10,19382154.66194923,763,127932229.50266667,0.999158,80163296.0,0.0,,
2017-06-11,14192346.680470709,615,129808068.11881189,1.02,84910496.0,0.0,,
2017-06-12,27491608.458892904,789,128485967.70588234,1.01,211119008.0,0.0,,
2017-06-13,34735662.40516285,942,131109300.66336633,1.03,105293000.0,0.0,,
2017-06-14,34390523.47906518,756,128163665.63106796,1.01,139975008.0,0.0,,
2017-06-15,64168384.41366339,1023,130987758.81372549,1.03,243107008.0,0.0,,
2017-06-16,27757231.07922296,968,128215805.57843137,1.01,109032000.0,20000000.0,,
2017-06-17,18075328.370337255,552,130043691.70449856,1.02,104554000.0,0.0,,
2017-06-18,12900534.447521763,568,126405280.980552,0.988674,114519000.0,0.0,,
2017-06-19,25026433.98856973,930,127493815.93380414,1.0,75733696.0,0.0,,
2017-06-20,10642351.553411936,909,142690683.59023532,0.986156,88767296.0,0.0,,
2017-06-21,33701396.27721687,724,141089067.94064468,0.975087,108254000.0,0.0,,
2017-06-22,26576224.267838873,982,141969819.3226944,0.981174,63105300.0,0.0,,
2017-06-23,25797867.22810451,690,140156882.25945348,0.972496,41182300.0,0.0,,
2017-06-24,30534297.10553505,543,146212400.47058824,1.01,79286600.0,20000000.0,,
2017-06-25,31581663.257372886,762,148047999.98019803,1.02,102005000.0,0.0,,
2017-06-26,74504633.27794193,1183,146155233.0,1.01,195886000.0,30000000.0,,
2017-06-27,77250968.11052874,1068,145725492.0,1.01,171804992.0,30000000.0,,
2017-06-28,31038479.22388908,779,146399765.0,1.01,128750000.0,0.0,,
2017-06-29,18198414.389590777,630,216662076.92156863,1.01,101103000.0,0.0,,
2017-06-30,33532970.75519599,775,218374857.98019803,1.02,72550400.0,0.0,,
2017-07-01,27975514.25397237,759,217124011.31372547,1.01,82133800.0,0.0,,
2017-07-02,21746822.73651778,754,224437398.0,1.02,76519200.0,0.0,,
2017-07-03,25190602.40279956,718,222347022.67000002,1.01,87514200.0,0.0,,
2017-07-04,24844540.025441017,785,219892808.98929945,0.999601,87707904.0,0.0,,
2017-07-05,14949513.91106334,486,219980581.25765207,1.0,66727600.0,0.0,,
2017-07-06,16823738.136016183,991,219876063.365696,0.995936,44331000.0,0.0,,
2017-07-07,23268511.23151517,714,219543568.31683168,1.0,84663200.0,0.0,,
2017-07-08,17015512.062194075,609,222181166.40076023,1.01,62607300.0,0.0,,
2017-07-09,14667015.740728797,478,219876163.10531485,0.999601,45640800.0,0.0,,
2017-07-10,58482731.00881429,870,236849455.0,1.01,132682000.0,0.0,,
2017-07-11,52695201.35541431,1102,264759817.48514852,1.02,173424000.0,30000000.0,,
2017-07-12,61544873.63389666,805,271671116.47030044,1.01,131420000.0,0.0,,
2017-07-13,57867636.06295617,1011,290493856.696098,0.999669,104236000.0,25000000.0,,
2017-07-14,18662421.46164851,727,290349772.0,1.0,93146704.0,0.0,,
2017-07-15,32377464.84406105,937,295061456.0,1.0,125229000.0,0.0,,
2017-07-16,28322342.89302354,973,294481327.8340528,1.0,177914000.0,0.0,,
2017-07-17,29800290.27882102,908,291028558.55887526,0.988208,171476000.0,0.0,,
2017-07-18,42000627.17953409,1284,307960311.2878656,0.995021,238396000.0,25000000.0,,
2017-07-19,27054244.57193278,966,310457677.0,1.0,199312000.0,0.0,,
2017-07-20,36591798.785706,1130,316619401.36101556,0.99098,278993984.0,0.0,,
2017-07-21,44772124.621268705,1458,319065517.889563,0.998636,168919008.0,0.0,,
2017-07-22,35431399.000421785,1362,319377346.41849375,0.999612,131558000.0,0.0,,
2017-07-23,26082095.187753428,524,317831279.07843363,0.994773,114229000.0,0.0,,
2017-07-24,20336526.357107956,722,319475433.77786154,0.999919,75766896.0,0.0,,
2017-07-25,32432341.411432855,1089,317675043.7534312,0.994284,220992000.0,0.0,,
2017-07-26,18463064.601054326,963,319068388.21811914,0.998645,111957000.0,0.0,,
2017-07-27,19715507.85029811,916,319130271.89682686,0.998839,79850000.0,0.0,,
2017-07-28,61925840.7411229,1200,318859768.08269995,0.99606,116290000.0,0.0,,
2017-07-29,25754377.23742452,1311,319422934.802713,0.999755,73768304.0,0.0,,
2017-07-30,19207786.58009974,896,318471141.46162254,0.996776,60213000.0,0.0,,
2017-07-31,25729250.74166615,1385,319795154.0,1.0,75184896.0,0.0,,
2017-08-01,20649860.97336226,865,319501213.3596972,1.0,170044992.0,0.0,,
2017-08-02,40500035.20272647,2184,318864163.2561,0.996581,84592704.0,0.0,,
2017-08-03,18893315.58537687,2342,319501196.7349768,1.0,57242700.0,0.0,,
2017-08-04,14913202.254540673,1479,310767556.880204,0.968452,59432500.0,0.0,,
2017-08-05,30698084.36393593,1992,319501202.0266169,1.0,173138000.0,0.0,,
2017-08-06,24769157.33071524,1601,319833483.0,1.0,103532000.0,0.0,,
2017-08-07,39801133.22792146,1825,319331227.86484975,0.999468,110170000.0,0.0,,
2017-08-08,23694561.98518773,2080,318134143.50878,0.99422,130482000.0,0.0,,
2017-08-09,20765271.932313465,1371,320170177.9591,0.999236,140568992.0,0.0,,
2017-08-10,15747723.05452398,1429,319117480.98077625,0.998799,91695000.0,0.0,,
2017-08-11,49542362.54734737,2346,318709479.59733003,0.996635,111829000.0,0.0,,
2017-08-12,25754868.59939159,1592,319862238.0,1.0,130896000.0,0.0,,
2017-08-13,48087089.37396259,2022,319501201.66310173,1.0,198568992.0,0.0,,
2017-08-14,28312218.232570138,1925,318121695.27000695,0.995682,125445000.0,0.0,,
2017-08-15,49543313.51570247,1927,319990139.0,1.0,213099008.0,0.0,,
2017-08-16,27437211.29440944,1323,319552983.561952,0.998963,121473000.0,0.0,,
2017-08-17,48578035.39122797,1844,318852825.7425743,1.0,166152000.0,0.0,,
2017-08-18,35818962.08771742,1795,323760271.0,1.01,255272000.0,0.0,,
2017-08-19,48159289.93602012,1356,323580519.52,1.01,281632992.0,0.0,,
2017-08-20,25147646.38680584,1150,318596170.7090532,0.997167,133754000.0,0.0,,
2017-08-21,28047101.66890964,1568,319353708.86257976,0.999538,208830000.0,0.0,,
2017-08-22,40721311.06190217,1593,318400462.37623763,1.0,241915008.0,0.0,,
2017-08-23,27729187.04249517,1378,320143516.0,1.0,195159008.0,0.0,,
2017-08-24,19277262.703940246,1137,320858788.05898,0.999332,132330000.0,0.0,,
2017-08-25,33453379.44886389,1422,320415042.0,1.0,116308000.0,0.0,,
2017-08-26,12666758.77088684,612,319501268.3546027,1.0,98081296.0,0.0,,
2017-08-27,18979496.36734836,1092,320440602.0,1.0,104722000.0,0.0,,
2017-08-28,19423837.40951912,828,319837227.0,1.0,130785000.0,0.0,,
2017-08-29,27658852.37543666,1542,319984145.0,1.0,132123000.0,0.0,,
2017-08-30,27893261.24306451,1575,319734936.0,1.0,114992000.0,0.0,,
2017-08-31,20165150.11566291,1498,320495344.0,1.0,109217000.0,0.0,,
2017-09-01,69590517.53111127,2047,320894490.0,1.0,199664000.0,0.0,,
2017-09-02,88862155.074445,2595,343283305.88235295,1.0,345971008.0,20000000.0,,
2017-09-03,63972810.77369221,1520,368458098.99,1.01,188687008.0,25000000.0,,
2017-09-04,110428151.82774003,2944,370395961.16504854,1.0,375472992.0,0.0,,
2017-09-05,82425416.03273344,2852,398432502.16,1.03,271614016.0,25000000.0,,
2017-09-06,35137177.07377837,1915,387158941.0,1.01,192688992.0,0.0,,
2017-09-07,57558005.7536781,2085,394229274.0,1.0,166452992.0,25000000.0,,
2017-09-08,87898719.2632214,2414,392485504.95049506,1.0,319590016.0,0.0,,
2017-09-09,52749019.208657034,2072,408244428.04,1.01,119580000.0,0.0,,
2017-09-10,43527786.507013895,2017,401879143.56435645,1.0,163772992.0,0.0,,
2017-09-11,40377007.74157247,1713,404132451.0,1.0,125845000.0,0.0,,
2017-09-12,130977947.41810237,1921,401817888.1188119,1.0,162774000.0,0.0,,
2017-09-13,76661299.82516548,2391,414751291.0,1.0,257404000.0,0.0,,
2017-09-14,69387972.66460279,2342,420011024.0,1.0,356495008.0,25000000.0,,
2017-09-15,143985461.0048457,3440,440452838.6138614,1.0,540294976.0,0.0,,
2017-09-16,53723108.04442416,2073,443361780.0,1.0,233444992.0,0.0,,
2017-09-17,23780306.096039202,1131,445388344.0,1.01,119083000.0,0.0,,
2017-09-18,49870102.70437672,1691,443547622.0,1.0,214648000.0,0.0,,
2017-09-19,43845243.72845684,1609,443299833.0,1.0,163298000.0,0.0,,
2017-09-20,26912233.35482661,1592,444490107.0,1.0,137763008.0,0.0,,
2017-09-21,52553138.13458013,1855,443434322.848284,0.997446,231706000.0,0.0,,
2017-09-22,28167946.054482862,1326,448957353.31,1.01,164432000.0,0.0,,
2017-09-23,19756691.574870482,827,443406023.0,1.0,118296000.0,0.0,,
2017-09-24,13056900.21662095,847,443777707.0,1.0,91337904.0,0.0,,
2017-09-25,28879784.46035738,1372,443056463.0,1.0,160336992.0,0.0,,
2017-09-26,40241820.89319392,1395,428167762.0,1.0,103839000.0,0.0,,
2017-09-27,40031588.90782208,2228,427334992.0,1.0,201224000.0,0.0,,
2017-09-28,45172075.02748433,2243,427826113.0,1.0,232499008.0,0.0,,
