date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,medianTxValue(USD),medianFee,averageDifficulty,paymentCount,blockSize,blockCount
2018-08-19,20531212.79126381,43794,1380878784.2248876,13.29,196340000.0,24425.0,30.691331798468003,20382,13.275829005899999,2.31e-05,211664896945005.25,36023,9364897,6091
2018-08-20,24452848.465340976,48219,1387243785.9043407,13.35,231594000.0,24545.75,51.29871387740197,21263,9.309093967301035,0.00021,209451650432567.56,39454,15293464,6121
2018-08-21,20857104.498346325,45908,1288884790.456693,12.4,200951000.0,24422.0,24.00086550282131,21119,12.276,0.000105,209672008529485.22,38248,10243954,6092
2018-08-22,22723999.80718065,50427,1336062590.9150326,12.85,251982000.00000003,24410.0,22.500511144793048,26542,12.860296962000001,0.00042,214144574150611.22,43085,9730175,6089
2018-08-23,14192005.36713361,45517,1271317722.75,12.22,213442000.0,24403.5,26.178560925692974,21659,12.2142294716,2.31e-05,206254782941029.62,37653,10783386,6085
2018-08-24,12186423.151892735,45381,1302688972.203336,12.52,173345000.0,24631.25,21.02359546519535,21060,12.513427,2.31e-05,207646157803209.88,37495,9970063,6145
2018-08-25,9447633.163678547,44820,1311560270.247012,12.6,149757000.0,24393.5,20.765684506768814,20509,11.567694315387268,2.31e-05,211253117194870.16,36087,9524376,6084
2018-08-26,20665437.167272817,43052,1308550042.375796,12.57,203880000.0,24709.0,17.04462923555701,19555,12.55375082385,2.31e-05,214340703227292.3,35143,9103438,6161
2018-08-27,67386492.03266321,45121,1310883698.5296443,12.59,191951000.0,24265.0,18.84107242399957,21126,12.591645020598428,6.3e-05,211731665892525.2,37302,9165357,6050
2018-08-28,33105250.976272907,49745,1330644837.808735,12.78,218125000.00000003,24299.0,20.371143353278722,22076,12.7180920825,0.00042,208965716514377.2,41632,9887724,6060
2018-08-29,33328439.76399811,45048,1374225844.6471944,13.19,187637000.0,24411.5,17.296318142865665,20858,13.190386810381074,0.000105,209858146610475.66,37580,8975304,6090
2018-08-30,13960854.55178916,42768,1359983008.4558823,13.05,168594000.0,24485.25,15.417931797934324,19838,13.050846238049528,2.31e-05,209133731082372.75,35747,8624735,6109
