date,txVolume(USD),txCount,paymentCount,activeAddresses,medianTxValue(USD),fees,medianFee,marketcap(USD),price(USD),exchangeVolume(USD)
2018-02-20,195876076.98747185,720192,24990,9668,460.2631268999999,3833.185172,1.2e-05,44448474795.57797,1.14,806673024.0
2018-02-21,894702476.4141784,920556,23559,8499,523.0616094000001,4187.813154,2.2e-05,41939542238.82353,1.08,871526016.0
2018-02-22,842705037.8431749,979352,22434,8608,504.7475,4620.023167,3.2e-05,39399307996.76785,1.01,889707008.0
2018-02-23,2666207859.5337505,921896,20436,7725,351.011983073136,4545.095579,3e-05,36521425932.990616,0.934176,896403968.0
2018-02-24,289498301.15119016,880340,17156,6501,328.97805525,4034.086155,3e-05,39003281260.43524,0.997659,489920000.0
2018-02-25,93778517.34051746,780319,13904,5801,287.8413988365435,3428.720531,3.1e-05,37217352506.61257,0.951977,360271008.0
2018-02-26,122397031.03076693,613049,18933,7291,280.280088,2869.939673,1.2e-05,36893921208.15922,0.943704,458612992.0
2018-02-27,110585625.96992908,714769,18581,7602,290.668506,3309.01209,2.3e-05,37503721932.90385,0.959302,312712992.0
2018-02-28,191983877.671469,521393,18810,7222,396.77274,2640.923192,1.5e-05,36932742346.11898,0.944697,329529984.0
2018-03-01,44152606.733900264,336816,6973,3510,433.98288,1720.320262,1.5e-05,35346822601.10644,0.904131,475256992.0
2018-03-02,,,,,,,,36224092577.90468,0.926638,271036000.0
2018-03-03,,,,,,,,35526222967.485794,0.908786,280852992.0
2018-03-04,,,,,,,,35261226887.60908,0.906008,797225984.0
2018-03-05,,,,,,,,39482876272.93176,1.01,1706819968.0
2018-03-06,,,,,,,,37311239894.614136,0.954448,875180032.0
2018-03-07,,,,,,,,36135744756.154724,0.924378,809598016.0
2018-03-08,,,,,,,,34108044961.272,0.872508,499496000.0
2018-03-09,,,,,,,,32294725457.43931,0.826122,989203008.0
2018-03-10,,,,,,,,33418619213.35335,0.854872,402670016.0
2018-03-11,,,,,,,,31108010927.763145,0.795765,472972000.0
2018-03-12,,,,,,,,32529472657.449173,0.832127,355031008.0
2018-03-13,,,,,,,,31212820144.35463,0.798451,279679008.0
2018-03-14,,,,,,,,30865607517.806496,0.789569,479148992.0
2018-03-15,,,,,,,,27478075731.013107,0.702913,888345024.0
2018-03-16,,,,,,,,27327572623.008934,0.699063,502740000.0
2018-03-17,,,,,,,,26885132575.264404,0.687745,319824000.0
2018-03-18,,,,,,,,24802365010.789154,0.634466,923606016.0
2018-03-19,,,,,,,,26276157588.65667,0.672126,1096930048.0
2018-03-20,,,,,,,,28802926220.0256,0.736759,814275967.9999999
2018-03-21,,,,,,,,27876239796.03982,0.713055,527324000.0
2018-03-22,,,,,,,,27097968181.3524,0.693145,449041984.0
2018-03-23,,,,,,,,25923812158.666145,0.663111,387164000.0
2018-03-24,,,,,,,,25263236999.903576,0.646214,390740000.0
2018-03-25,,,,,,,,24966824568.867046,0.638632,229352000.0
2018-03-26,,,,,,,,25125195282.838238,0.642683,384504992.0
2018-03-27,,,,,,,,23418458602.05619,0.599026,351380992.0
2018-03-28,,,,,,,,22577346301.396423,0.577511,258298000.0
2018-03-29,,,,,,,,22587354423.930473,0.577767,420550016.0
2018-03-30,,,,,,,,20065966410.86508,0.513268,518219008.0
2018-03-31,,,,,,,,19962326837.197647,0.510617,293208000.0
2018-04-01,,,,,,,,20088875799.866276,0.513854,297868992.0
2018-04-02,,,,,,,,19002556355.962025,0.486067,262342000.0
2018-04-03,,,,,,,,19607192212.027206,0.501533,578238976.0
2018-04-04,,,,,,,,21680609207.77877,0.554569,415257984.0
2018-04-05,,,,,,,,19623494626.305817,0.50195,358755008.0
2018-04-06,,,,,,,,19343226008.434498,0.494781,218156000.0
2018-04-07,,,,,,,,18642261253.812088,0.476851,209076000.0
2018-04-08,,,,,,,,19087000520.490364,0.488227,137548000.0
2018-04-09,,,,,,,,19594212830.742073,0.501201,271775008.0
2018-04-10,,,,,,,,19239742812.686638,0.492134,154495008.0
2018-04-11,,,,,,,,19256709834.01783,0.492568,341707008.0
2018-04-12,,,,,,,,21073767369.25325,0.538657,1346739968.0
2018-04-13,,,,,,,,24650999250.02263,0.630093,1245170048.0
2018-04-14,,,,,,,,24936087056.653313,0.63738,626268032.0
2018-04-15,,,,,,,,24838397437.958115,0.634883,609636992.0
2018-04-16,,,,,,,,26693326515.600197,0.682296,531996000.0
2018-04-17,,,,,,,,26012355146.56385,0.66489,442352992.0
2018-04-18,,,,,,,,25705710679.07876,0.657052,624049024.0
2018-04-19,,,,,,,,27857738262.499638,0.712059,878328000.0
2018-04-20,,,,,,,,30952859940.34366,0.791172,2344069888.0
2018-04-21,,,,,,,,36189406924.151855,0.925021,1563970048.0
2018-04-22,,,,,,,,33912421133.977276,0.86682,946398976.0000001
2018-04-23,,,,,,,,33923238647.954777,0.866578,674545024.0
2018-04-24,,,,,,,,34292543931.476906,0.876012,1572930048.0
2018-04-25,,,,,,,,36514443289.915955,0.932771,1614050048.0
2018-04-26,,,,,,,,31386408082.943268,0.801774,1028590016.0
2018-04-27,,,,,,,,33318860414.40826,0.851139,673793024.0
2018-04-28,,,,,,,,31789183369.98444,0.812063,788718976.0
2018-04-29,,,,,,,,33837939070.731037,0.864399,896313984.0
2018-04-30,,,,,,,,34112158225.92093,0.871404,575363968.0
2018-05-01,,,,,,,,32824826791.615086,0.838355,630809024.0
2018-05-02,,,,,,,,32863980642.260723,0.839355,544425984.0
2018-05-03,,,,,,,,33653341318.18772,0.85898,725228992.0
2018-05-04,,,,,,,,34537046138.830925,0.881536,1007609983.9999999
2018-05-05,,,,,,,,35086560405.41861,0.895562,668800000.0
2018-05-06,,,,,,,,35426353450.41801,0.904235,640057024.0
2018-05-07,,,,,,,,34132648144.473293,0.871214,602534976.0
2018-05-08,,,,,,,,32638859466.986343,0.833086,465040992.0
2018-05-09,,,,,,,,31867322003.968975,0.813393,611574976.0
2018-05-10,,,,,,,,31468448143.55919,0.803212,399324000.0
2018-05-11,,,,,,,,29650267789.921238,0.756578,991409024.0
2018-05-12,,,,,,,,26875382899.19584,0.685772,596684992.0
2018-05-13,,,,,,,,27357928977.843575,0.698085,532488000.0
2018-05-14,,,,,,,,29184808537.211178,0.744701,613462016.0
2018-05-15,,,,,,,,28958956750.435184,0.738938,422980000.0
2018-05-16,,,,,,,,27273082696.81339,0.69592,429641984.0
2018-05-17,,,,,,,,27957653062.54654,0.713388,337999008.0
