date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),medianTxValue(USD),fees,medianFee,activeAddresses
2016-11-26,,,23308700.0,0.233087,102524.0,,,,
2016-11-27,,,21718300.0,0.217183,72829.0,,,,
2016-11-28,,,25746799.999999996,0.257468,94741.0,,,,
2016-11-29,,,30946600.000000004,0.309466,129517.99999999999,,,,
2016-11-30,,,25969399.999999996,0.259694,69225.0,,,,
2016-12-01,,,25279600.000000004,0.252796,38650.0,,,,
2016-12-02,,,24614400.0,0.246144,53633.0,,,,
2016-12-03,,,24622300.0,0.246223,43557.0,,,,
2016-12-04,,,24745300.0,0.247453,51360.0,,,,
2016-12-05,,,23570700.0,0.235707,33659.0,,,,
2016-12-06,,,23125200.0,0.231252,38582.0,,,,
2016-12-07,,,23252200.0,0.232522,26844.0,,,,
2016-12-08,,,24435200.0,0.244352,23638.0,,,,
2016-12-09,,,23641400.0,0.236414,18126.0,,,,
2016-12-10,,,23501000.0,0.23501,9008.0,,,,
2016-12-11,0.232955,1,23295500.0,0.232955,20208.0,0.232955,0.001,0.001,2
2016-12-12,0.008466599,1,22882700.0,0.228827,40733.0,0.008466599,0.001,0.001,2
2016-12-13,0.228146501,3,22883300.0,0.228833,18928.0,0.0228604167,0.003,0.001,2
2016-12-14,,,23361600.0,0.233616,25330.0,,,,
2016-12-15,,,22106200.0,0.221062,15290.0,,,,
2016-12-16,,,22117200.0,0.221172,31751.999999999996,,,,
2016-12-17,,,24446600.0,0.244466,18214.0,,,,
2016-12-18,,,23988900.0,0.239889,21916.0,,,,
2016-12-19,6.330204405000001,26,22858500.0,0.228585,39801.0,0.2053836225,0.026,0.001,18
2016-12-20,224.312805664,25,21735400.0,0.217354,70993.0,0.000217354,0.025,0.001,21
2016-12-21,0.35528041749280004,20,21254300.0,0.212543,136469.0,0.00021254300000000001,0.02,0.001,16
2016-12-22,1.1186223679999998,4,19484800.0,0.194848,73752.0,0.000194848,0.004,0.001,4
2016-12-23,0.000768312,4,19207800.0,0.192078,45692.0,0.000192078,0.004,0.001,5
2016-12-24,0.0009787700000000001,5,19575400.0,0.195754,32473.0,0.00019575400000000002,0.005,0.001,6
2016-12-25,549.9097377881532,7,18544400.0,0.185444,26826.0,11.263855764364,0.007,0.001,6
2016-12-26,81.668321004,9,20629200.0,0.206292,29712.000000000004,4.126458876,0.009,0.001,8
2016-12-27,0.0012207840000000001,6,20346400.0,0.203464,54308.0,0.00020346400000000002,0.006,0.001,6
2016-12-28,112.843271299,11,18775700.0,0.187757,52386.0,0.000187757,0.011,0.001,11
2016-12-29,1.8440487360000002,3,18436800.0,0.184368,49410.0,0.00018436800000000002,0.003,0.001,3
2016-12-30,0.001045485,5,20909700.0,0.209097,26185.0,0.00020909700000000002,0.005,0.001,5
2016-12-31,0.00022922100000000002,1,22922100.0,0.229221,48047.0,0.00022922100000000002,0.001,0.001,2
2017-01-01,0.024584868,3,25086599.999999996,0.250866,35423.0,0.000250866,0.003,0.001,4
2017-01-02,5.5883808162,2,22142900.0,0.221429,37158.0,2.7941904081,0.002,0.001,3
2017-01-03,0.000232669,1,23266900.0,0.232669,28997.0,0.000232669,0.001,0.001,2
2017-01-04,0.000239891,1,23989100.0,0.239891,75184.0,0.000239891,0.001,0.001,2
2017-01-05,5.982352960599999,3,24155800.0,0.241558,28182.0,0.28962804200000003,0.003,0.001,4
2017-01-06,0.000700941,3,23364700.0,0.233647,62838.00000000001,0.000233647,0.003,0.001,3
2017-01-07,0.000212612,1,21261200.0,0.212612,42203.0,0.000212612,0.001,0.001,2
2017-01-08,0.002393424,11,21758400.0,0.217584,18438.0,0.000217584,0.011,0.001,6
2017-01-09,0.00042753999999999996,2,21377000.0,0.21377,29743.000000000004,0.00021376999999999998,0.002,0.001,2
2017-01-10,0.000436666,2,21833300.0,0.218333,14961.000000000002,0.000218333,0.002,0.001,2
2017-01-11,8.54313026620656,5,22488800.0,0.224888,29955.999999999996,0.40434862400000005,0.005,0.001,6
2017-01-12,153.76113306058744,4,20115900.0,0.201159,13288.999999999998,0.00020115900000000002,0.004,0.001,5
2017-01-13,0.000205282,1,20528200.0,0.205282,14030.0,0.000205282,0.001,0.001,2
2017-01-14,0.0035225994999999997,5,21879500.0,0.218795,33042.0,0.00021879499999999998,0.005,0.001,5
2017-01-15,0.00023227700000000003,1,23227700.0,0.232277,42740.0,0.00023227700000000003,0.001,0.001,2
