date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianTxValue(USD),medianFee
2015-11-29,357.908161013787,528,961175.8557692308,0.000107,247.00000000000003,7830.589556,48,0.00107,14.0
2015-11-30,698.944419800952,545,932794.6415094339,0.000104,224.0,8157.056114,53,0.00104,15.0
2015-12-01,1148.99206942456,326,954082.2413793104,0.000106,1860.0000000000002,5198.610294,29,0.00106,15.0
2015-12-02,2639.333656170452,136,1048462.5882352941,0.000116,3449.0,2131.424817,50,0.0116,6.0
2015-12-03,1123.9346055741548,405,929952.6666666667,0.000103,1771.0,6956.800853,62,0.0010299999999999999,14.0
2015-12-04,480.23435761682396,245,968457.966101695,0.000108,1096.0,3404.148639,45,0.00108,14.0
2015-12-05,1877.818201542492,551,1062828.0,0.000118,165.0,7947.186497,55,0.00118,14.0
2015-12-06,1063.6970155116,553,1081526.5384615387,0.00012,2133.0,8427.258118,56,0.0012000000000000001,15.0
2015-12-07,199.869728075962,548,930560.857142857,0.000103,792.0,7851.770998,51,0.0010299999999999999,14.0
2015-12-08,1022.719483704114,528,1134903.789473684,0.000126,1172.0,8144.060224,43,0.00126,14.5
2015-12-09,1119.394883258162,590,1205929.5766423359,0.000134,676.0,8584.583649,65,0.00134,14.0
2015-12-10,1689.065691511553,553,1230601.5616438354,0.000137,561.0,8428.184314,50,0.00137,14.0
2015-12-11,1060.7543897190578,527,1316772.0,0.000146,258.0,8080.882301,47,0.00146,15.0
2015-12-12,123.537420604038,15,1320385.251968504,0.000147,717.9999999999999,370.066291,18,0.205506,2.0
2015-12-13,6450.727596482455,299,1398794.7902097902,0.000155,2345.0,5395.30309,17,0.00155,15.0
2015-12-14,809.7282008305491,497,1284220.8260869565,0.000143,187.00000000000003,7849.911613,16,0.00143,15.0
2015-12-15,615.409174187136,529,1239575.1428571427,0.000138,1109.0,8285.770674,44,0.00138,15.0
2015-12-16,2276.687935727352,585,1131911.7049180327,0.000126,7084.0,9476.355687,52,0.00126,14.0
2015-12-17,23474.874499504156,669,1793358.5185185187,0.000199,33215.0,14244.998502,75,0.00199,15.0
2015-12-18,5129.324888615765,558,2188922.6373626376,0.000243,12619.0,10487.689868,28,0.00243,15.0
2015-12-19,4761.19174960884,547,1641741.1111111112,0.000182,4681.0,9706.571632,26,0.00182,15.0
2015-12-20,3616.28888378472,521,1459787.2258064516,0.000162,3615.9999999999995,9249.168269,21,0.0016200000000000001,15.0
2015-12-21,1462.05308797273,528,1395951.796875,0.000155,6140.0,9285.291303,24,0.00155,15.0
2015-12-22,1097.75075825376,514,1727002.3917525774,0.000192,3694.0,8330.837017,20,0.00192,15.0
2015-12-23,3527.630331608966,290,1742723.024630542,0.000194,4073.0,6110.081983,21,0.0019399999999999999,15.0
2015-12-24,4092.3296763640337,25,1826456.0056179776,0.000203,3898.0,2272.127326,12,81.196955,121.990539
2015-12-25,1128.157780364888,15,1638602.0756756759,0.000182,3183.0,832.681009,10,9.9278277826,36.530107
2015-12-26,543.85794954958,22,1663036.9444444445,0.000185,1106.0,613.723968,18,2.05650853734,12.0
2015-12-27,1536.2156088306178,48,1458486.0,0.000162,3405.0,2177.122388,10,5.540657122593,26.0
2015-12-28,1265.2649912448,14,1346432.142857143,0.00015,1391.9999999999998,759.333432,14,3.6248237416499998,17.7210985
2015-12-29,368.85919888397996,284,1257378.260869565,0.00014,1042.0,4619.682719,9,0.0013999999999999998,15.0
2015-12-30,355.049487253062,246,1447560.0562500001,0.000161,2870.0,4216.0,11,0.00161,15.0
2015-12-31,211.95240601920003,469,1439179.867549669,0.00016,1171.0,7492.00621,14,0.0016,15.0
2016-01-01,707.929876073641,470,1358630.888888889,0.000151,1361.0,7842.226072,21,0.00151,15.0
2016-01-02,89.331255124416,309,1457354.9454545456,0.000162,1140.0,4772.72549,14,0.0016200000000000001,15.0
2016-01-03,602.83916987613,212,1483896.857142857,0.000165,573.0,3340.0,21,0.00165,15.0
2016-01-04,4133.8857153601,526,1572788.7931034483,0.000175,7346.0,9813.486036,24,0.00175,15.0
2016-01-05,1703.295759369855,509,1831577.3225806453,0.000203,1676.0,8393.057774,29,0.00203,15.0
2016-01-06,165.76302500208598,496,1672699.9787234042,0.000186,1372.0,7706.845142,16,0.0018599999999999999,15.0
2016-01-07,3467.7825584041393,567,1690375.142857143,0.000188,20869.0,11202.476044,42,0.00188,15.0
2016-01-08,12465.110390083093,88,2267616.4411764704,0.000252,30481.0,5979.639341,38,14.410923307956,38.77933
2016-01-09,8700.649556727743,66,2448698.0625,0.000272,9030.0,3370.944022,38,10.356894060664,31.75279
2016-01-10,307.382968431872,17,2304414.0,0.000256,3027.0,359.475808,20,0.414095786496,5.964057
2016-01-11,4060.898143819017,274,2310687.0,0.000257,11982.0,5266.007591,17,0.0025700000000000002,15.0
2016-01-12,8338.821028727294,504,2140896.046153846,0.000238,7721.0,9549.918889,25,0.00238,15.0
2016-01-13,5189.357911938816,516,2324013.024193548,0.000258,6263.0,9573.929047,22,0.00258,15.0
2016-01-14,18753.63221229501,560,2230927.073684211,0.000248,39981.0,12257.336281,54,0.00248,15.0
2016-01-15,18946.971811905434,546,2565300.5859375,0.000285,37975.0,13836.247766,44,0.00285,16.0
2016-01-16,5181.251740161466,326,2295503.5791366906,0.000255,10071.0,5910.105509,33,0.00255,15.0
2016-01-17,5777.5724428586755,530,2500442.6326530613,0.000278,9379.0,10032.960153,27,0.00278,15.0
2016-01-18,75886.96249976124,483,2554722.0,0.000284,68567.0,15323.999919,47,0.00284,16.0
2016-01-19,30538.211089431938,270,3166402.4615384615,0.000352,126416.0,11213.238317,59,0.34566399999999997,16.4885395
